SDB BB KHTN KHXH
BD1200430 16.450001 0.000000 17.000000
BD1200431 15.200000 12.000000 15.500000
BD1200432 16.450001 0.000000 24.000000
BD1200433 14.299999 0.000000 17.000000
BD1200434 22.950001 14.000000 0.000000
BD1200435 10.850000 9.500000 15.750000
BD1200436 7.300000 10.250000 16.000000
BD1200437 14.050000 18.000000 17.500000
BD1200438 12.349999 0.000000 20.750000
BD1200439 20.900000 16.000000 0.000000
BD1200440 14.500000 0.000000 15.750000
BD1200441 13.900000 0.000000 17.250000
BD1200442 17.900000 0.000000 19.000000
BD1200443 15.150000 18.750000 0.000000
BD1200444 16.600000 18.000000 0.000000
BD1200445 18.000000 0.000000 24.250000
BD1200446 12.250000 0.000000 20.750000
BD1200447 13.000000 0.000000 15.750000
BD1200448 18.450001 0.000000 19.250000
BD1200449 16.299999 0.000000 20.250000
BD1200450 18.850000 0.000000 22.000000
BD1200451 12.000000 0.000000 15.250000
BD1200452 12.800000 10.250000 0.000000
BD1200453 13.650000 0.000000 14.250000
BD1200454 13.799999 0.000000 20.500000
BD1200455 15.750000 16.750000 0.000000
BD1200456 14.650000 9.750000 0.000000
BD1200457 17.049999 0.000000 19.000000
BD1200458 8.650000 0.000000 14.250000
BD1200459 13.600000 15.500000 0.000000
BD1200460 17.100000 18.500000 0.000000
BD1200461 15.200000 0.000000 17.250000
BD1200462 21.500000 13.250000 0.000000
BD1200463 23.400002 0.000000 19.750000
BD1200464 16.400000 0.000000 19.750000
BD1200465 17.700001 15.750000 0.000000
BD1200466 18.100000 20.250000 0.000000
BD1200467 17.450001 15.000000 0.000000
BD1200468 10.050000 7.250000 16.500000
BD1200469 12.050000 10.500000 14.500000
BD1200470 18.600000 0.000000 21.500000
BD1200471 13.549999 0.000000 20.000000
BD1200472 11.049999 12.500000 15.000000
BD1200473 7.500000 0.000000 12.250000
BD1200474 22.099998 18.250000 0.000000
BD1200475 21.650002 15.250000 0.000000
BD1200476 13.850000 0.000000 18.250000
BD1200477 15.000000 12.500000 0.000000
BD1200478 6.950000 0.000000 15.000000
BD1200479 12.350000 0.000000 18.750000
BD1200480 19.850000 15.500000 0.000000
BD1200481 11.299999 0.000000 15.000000
BD1200482 17.099998 0.000000 21.250000
BD1200483 16.299999 16.000000 0.000000
BD1200484 17.000000 0.000000 20.500000
BD1200485 13.300000 10.500000 13.750000
BD1200486 15.150000 0.000000 18.750000
BD1200487 15.300000 0.000000 21.250000
BD1200488 12.400001 0.000000 16.000000
BD1200489 8.700000 0.000000 15.750000
BD1200490 16.100000 19.750000 0.000000
BD1200491 15.799999 14.250000 0.000000
BD1200492 17.350000 20.000000 0.000000
BD1200493 15.000000 15.500000 0.000000
BD1200494 11.000000 9.250000 16.750000
BD1200495 10.500000 0.000000 18.500000
BD1200496 16.199999 11.250000 17.500000
BD1200497 12.250000 0.000000 18.750000
BD1200498 17.950001 17.750000 0.000000
BD1200499 10.100000 0.000000 16.750000
BD1200500 16.750000 15.750000 0.000000
BD1200501 13.200001 6.750000 14.250000
BD1200502 17.400000 14.500000 0.000000
BD1200503 13.900001 13.000000 0.000000
BD1200504 18.700001 0.000000 18.500000
BD1200505 18.700001 14.500000 0.000000
BD1200506 12.700001 0.000000 16.750000
BD1200507 17.750000 0.000000 18.750000
BD1200508 20.599998 0.000000 21.750000
BD1200509 10.000000 7.750000 13.500000
BD1200510 20.250000 0.000000 22.000000
BD1200511 11.900000 11.000000 0.000000
BD1200512 12.050000 0.000000 14.500000
BD1200513 18.400000 16.250000 18.250000
BD1200514 17.799999 0.000000 20.250000
BD1200515 8.100000 0.000000 14.000000
BD1200516 10.650000 0.000000 15.250000
BD1200517 10.500000 0.000000 16.750000
BD1200518 12.549999 0.000000 18.000000
BD1200519 15.850000 21.000000 0.000000
BD1200520 17.600000 0.000000 20.000000
BD1200521 11.900000 0.000000 13.000000
BD1200522 16.850000 0.000000 21.500000
BD1200523 4.750000 0.000000 6.750000
BD1200524 10.350000 0.000000 12.000000
BD1200525 16.250000 11.500000 22.250000
BD1200526 15.750000 17.250000 0.000000
BD1200527 19.850000 21.500000 0.000000
BD1200528 19.799999 18.500000 0.000000
BD1200529 11.500000 9.500000 15.000000
BD1200531 15.900000 0.000000 20.750000
BD1200532 13.000000 13.750000 0.000000
BD1200533 17.600000 0.000000 22.250000
BD1200534 13.350000 0.000000 18.000000
BD1200535 11.250000 9.000000 16.250000
BD1200536 11.550000 7.750000 18.000000
BD1200537 19.849998 20.000000 0.000000
BD1200538 19.600000 19.750000 0.000000
BD1200539 17.799999 19.500000 0.000000
BD1200540 18.849998 16.500000 0.000000
BD1200541 23.650000 14.750000 0.000000
BD1200542 19.200001 11.750000 0.000000
BD1200543 15.849999 0.000000 19.000000
BD1200544 16.950001 14.250000 0.000000
BD1200545 10.800000 0.000000 17.000000
BD1200546 15.800000 0.000000 19.750000
BD1200547 16.600000 0.000000 19.500000
BD1200548 14.200001 14.000000 0.000000
BD1200549 16.400000 0.000000 15.250000
BD1200550 13.900001 0.000000 18.750000
BD1200551 15.300000 15.250000 0.000000
BD1200552 15.300000 0.000000 20.000000
BD1200553 18.000000 15.250000 0.000000
BD1200554 9.300000 0.000000 10.500000
BD1200555 16.750000 0.000000 19.750000
BD1200556 14.850000 11.500000 0.000000
BD1200557 8.400000 0.000000 13.750000
BD1200558 19.100000 18.250000 0.000000
BD1200559 14.549999 0.000000 20.500000
BD1200560 16.299999 0.000000 18.750000
BD1200561 18.299999 16.750000 0.000000
BD1200562 20.599998 0.000000 24.000000
BD1200563 17.799999 18.250000 0.000000
BD1200564 21.799999 0.000000 21.000000
BD1200565 9.200000 0.000000 19.000000
BD1200566 20.299999 0.000000 20.500000
BD1200567 14.000000 0.000000 17.500000
BD1200568 16.750000 19.750000 0.000000
BD1200569 14.599999 0.000000 15.500000
BD1200570 4.400000 0.000000 7.750000
BD1200571 19.750000 0.000000 25.000000
BD1200572 11.250000 7.500000 8.500000
BD1200573 16.200001 14.250000 0.000000
BD1200574 18.400002 13.750000 0.000000
BD1200575 14.900000 12.000000 0.000000
BD1200576 17.750000 14.750000 0.000000
BD1200577 17.299999 15.750000 0.000000
BD1200578 20.350000 20.750000 0.000000
BD1200579 20.950001 18.250000 0.000000
BD1200580 11.000000 0.000000 13.750000
BD1200581 13.400001 0.000000 18.750000
BD1200582 12.900000 0.000000 18.000000
BD1200583 16.099998 0.000000 21.500000
BD1200584 13.900001 8.750000 17.500000
BD1200585 10.950000 8.250000 17.750000
BD1200586 22.849998 17.250000 0.000000
BD1200587 14.400000 9.250000 18.250000
BD1200588 16.400000 14.250000 0.000000
BD1200589 10.150000 0.000000 18.250000
BD1200590 20.849998 16.500000 17.250000
BD1200591 16.750000 0.000000 18.750000
BD1200592 14.950001 0.000000 20.500000
BD1200593 22.599998 0.000000 22.250000
BD1200594 16.000000 17.750000 0.000000
BD1200595 8.800000 13.000000 0.000000
BD1200596 17.299999 0.000000 19.000000
BD1200597 12.150000 0.000000 15.750000
BD1200598 13.350000 0.000000 17.750000
BD1200599 17.950001 17.250000 0.000000
BD1200600 12.500000 0.000000 12.250000
BD1200601 18.900000 0.000000 18.250000
BD1200602 13.650000 0.000000 17.000000
BD1200603 23.750000 0.000000 19.750000
BD1200604 13.250000 0.000000 14.500000
BD1200605 17.050001 16.500000 0.000000
BD1200606 17.350000 14.250000 0.000000
